CollegeID,College Name,University,City,State
4121,Padmashree Dr DY Patil Polytechnic,,Navi Mumbai,Maharashtra
4122,Marathwada Mitra Mandal Polytechnic,,Pune,Maharashtra
4123,Sri Durgadevi Polytechnic College,,Thiruvallur,Tamil Nadu
4124,Elumalai Polytechnic College,,Villupuram,Tamil Nadu
4125,Rajaji Institute of Technology,,Salem,Tamil Nadu
4126,Thevanesam Erudhaya Ammal Polytechnic College,,Thoothukudi,Tamil Nadu
4127,Wainganga Polytechnic,,Wadad,Maharashtra
4128,SNJB's Shri Hiralal Hastimal Jain Brothers Polytechnic,,Chandwad,Maharashtra
4129,Ratneshwari Institute of Polytechnic,,Nanded,Maharashtra
4130,Latthe Education Society's Polytechnic,,Sangli,Maharashtra
4131,Government Polytechnic,,Pen,Maharashtra
4132,MGM'S Polytechnic College,,Aurangabad,Maharashtra
4133,Nikam Institute of Technology Polytechnic,,Dhule,Maharashtra
4134,Vashisth Polytechnic College,,Suratgarh,Rajasthan
4135,Government Polytechnic College,,Kota,Rajasthan
4136,Guru Kripa Polytechnic College,,Kota,Rajasthan
4137,Government Polytechnic College,,Alwar,Rajasthan
4138,Imperial Institute of Polytechnic and Technology,,Jaipur,Rajasthan
4139,Savitri Bai Phule Government Girls Polytechnic,,Ugranu Aht.,Uttar Pradesh
4140,MSD Polytechnic College,,Azamgarh,Uttar Pradesh
4141,Heritage Technical College,,Agra,Uttar Pradesh
4142,Kanchan Polytechnic,,Manehroo,Uttar Pradesh
4143,Drona's Polytechnic College,,Dehradun,Uttarakhand
4144,Government Polytechnic,,Srinagar,Uttarakhand
4145,Government Polytechnic,,Chamoli Gopeshwar,Uttarakhand
4146,GET Group of Institution Faculty of Technology,,Bazpur,Uttarakhand
4147,College of Advanced Technology,,Roorkee,Uttarakhand
4148,KL Polytechnic,,Roorkee,Uttarakhand
4149,Government Polytechnic,,Dehradun,Uttarakhand
4150,Gobindapur Sephali Memorial Polytechnic,,Burdwan,West Bengal
4151,Basantika Institute of Engineering and Technology,,Gonpur,West Bengal
4152,Asansol Institute of Engineering and Management,,Burdwan,West Bengal
4153,Purulia Polytechnic,,Purulia,West Bengal
4154,Rajendranath College of Polytechnic,,Burdwan,West Bengal
4155,Minerva Polytechnic,,Gopgram,West Bengal
4156,Kingston Polytechnic College,,Kolkata,West Bengal
4157,Nibedita Institute of Technology,,Sagarpara,West Bengal
4158,Dumkal Polytechnic,,Juginda,West Bengal
4159,Shree Ramkrishna Institute of Science and Technology,,Kolkata,West Bengal
4160,Luthfaa Polytechnic Institute,,Malandighi,West Bengal
4161,KPS Institute of Polytechnic,,Hooghly,West Bengal
4162,Amity School of Architecture and Planning,"Amity University, Noida",Noida,Uttar Pradesh
4163,Pillai HOC College of Architecture,"University of Mumbai, Mumbai",Rasayani,Maharashtra
4164,Vedavyasa College of Architecture,"University of Calicut, Malappuram",Malappuram,Kerala
4165,Government Polytechnic College,,Rohru,Himachal Pradesh
4166,College of Architecture and Centre For Design,"Savitribai Phule Pune University, Pune",Nashik,Maharashtra
4167,Universal Polytechnic College,,Lalru,Punjab
4168,LTR Institute of Technology,"Dr APJ Abdul Kalam Technical University, Lucknow",Meerut,Uttar Pradesh
4169,Shree Samarth Polytechnic,,Ahmednagar,Maharashtra
4170,Sri Ranganathar Institute of Polytechnic College,,Coimbatore,Tamil Nadu
4171,Government Polytechnic College,,Fathimanagar,Tamil Nadu
4172,Shree Bhagwat Institute of Technology,,Varanasi,Uttar Pradesh
4173,Gyanmanjari Institute of Technology,"Gujarat Technological University, Ahmedabad",Bhavnagar,Gujarat
4174,Sigma Polytechnic,"Gujarat Technological University, Ahmedabad",Vadodara,Gujarat
4175,Government Polytechnic,"Gujarat Technological University, Ahmedabad",Bharuch,Gujarat
4176,Government Polytechnic,"Gujarat Technological University, Ahmedabad",Waghai,Gujarat
4177,Parul Polytechnic Institute,"Gujarat Technological University, Ahmedabad",Waghodia,Gujarat
4178,AERP ITM Polytechnic,,Palwal,Haryana
4179,Government Polytechnic,,Hamirpur,Himachal Pradesh
4180,Government Polytechnic College,,Kannur,Kerala
4181,Government Polytechnic College,,Periye,Kerala
4182,Technocrats Institute of Technology Advance,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Bhopal,Madhya Pradesh
4183,Shri Sai Institute of Technology Polytechnic,,Aurangabad,Maharashtra
4184,Government Polytechnic,,Arvi,Maharashtra
4185,Government Polytechnic,,Osmanabad,Maharashtra
4186,Navjeevan Education Society's Polytechnic,,Mumbai,Maharashtra
4187,Government Polytechnic,,Indala,Maharashtra
4188,Government Polytechnic,,Agnipur,Odisha
4189,Government Polytechnic,,Remuna,Odisha
4190,Orissa School of Engineering,,Brahmapur,Odisha
4191,Christ Institute of Technology,"Pondicherry University, Puducherry",Villianur,Puducherry
4192,TTAADC Polytechnic Institute,"Tripura University, Suryamaninagar",Khumulwng,Tripura
4193,Lal Bahadur Shastri Polytechnic,,Manda,Uttar Pradesh
4194,VIIT Polytechnic College,,Bulandshahr,Uttar Pradesh
4195,Abhay Memorial Trust Group of Institutions,"Dr APJ Abdul Kalam Technical University, Lucknow",Allahabad,Uttar Pradesh
4196,Subharti Polytechnic College,,Meerut,Uttar Pradesh
4197,Om Institute of Technology,,Haridwar,Uttarakhand
4198,AKT Memorial Polytechnic College,,Kallakurichi,Tamil Nadu
4199,Baghmundi Government Polytechnic,,Baghmundi,West Bengal
4200,Bilaspur College of Polytechnic,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Farhada,Chhattisgarh
4201,CMRA Government Polytechnic,,Sanghi,Haryana
4202,GCRG College of Polytechnic,,Lucknow,Uttar Pradesh
4203,Government Polytechnic College,,Churu,Rajasthan
4204,Government Girls Polytechnic,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Bilaspur,Chhattisgarh
4205,Government Polytechnic College,,Koovappady,Kerala
4206,Government Polytechnic College,,Koratty,Kerala
4207,Government Polytechnic,,Katihar,Bihar
4208,Government Polytechnic,,Jintur,Maharashtra
4209,Saheed Jageshwar Nagar Government Polytechnic College,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Dewas,Madhya Pradesh
4210,Government Polytechnic College,,Batala,Punjab
4211,Government Polytechnic Garhi Shyampur,,Rishikesh,Uttarakhand
4212,Government Polytechnic,,Sonipat,Haryana
4213,Government Polytechnic College,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Jhabua,Madhya Pradesh
4214,Kalawatibai College of Engineering and Technology Polytechnic,,Naigaon,Maharashtra
4215,Marudhara Polytechnic College,,Laxmangarh,Rajasthan
4216,NV Society's Polytechnic,,Kalaburagi,Karnataka
4217,PM Polytechnic,,Kami,Haryana
4218,PES Polytechnic,,Bengaluru,Karnataka
4219,Sri Padmam Polytechnic College,,Tirupattur,Tamil Nadu
4220,St Joseph Polytechnic College,,Thirumayam,Tamil Nadu
4221,The Salem Polytechnic College,,Gajallnayakkanpatti,Tamil Nadu
4222,VMR Polytechnic,,Warangal,Telangana
4223,Moti Babu Institute of Technology,"Aryabhatta Knowledge University, Patna",Forbesganj,Bihar
4224,Accurate Institute of Architecture and Planning,"Dr APJ Abdul Kalam Technical University, Lucknow",Greater Noida,Uttar Pradesh
4225,MK College of Engineering and Technological Research,"Gujarat Technological University, Ahmedabad",Patan,Gujarat
4226,Purvanchal Institute of Architecture and Design,"Dr APJ Abdul Kalam Technical University, Lucknow",Gorakhpur,Uttar Pradesh
4227,Oxford College of Engineering and Management,"Biju Patnaik University of Technology, Rourkela",Ramachandrapur,Odisha
4228,Zeal Polytechnic,,Pune,Maharashtra
4229,Vi Institute of Technology,"Anna University, Chennai",Kanchipuram,Tamil Nadu
4230,Veerammal College of Engineering,"Anna University, Chennai",Sengattampatti,Tamil Nadu
4231,Sasurie Academy of Engineering,"Anna University, Chennai",Tiruppur,Tamil Nadu
4232,Pollachi Institute of Engineering and Technology,"Anna University, Chennai",Pollachi,Tamil Nadu
4233,Nalanda Institute of Technology,"Jawaharlal Nehru Technological University, Kakinada",Kantepudi,Andhra Pradesh
4234,ShriRam Institute of Information Technology,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Gwalior,Madhya Pradesh
4235,ShriRam College of Engineering and Management,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Gwalior,Madhya Pradesh
